5 9 2022 21:36 Start-up Time: 2.387s Avg: 0.3ms 3333FPS Total: 9949.89s
5 9 2022 21:34 Start-up Time: 2.565s Avg: 0.312ms 3205FPS Total: 4763.97s
5 9 2022 21:23 Start-up Time: 2.168s Avg: 0.329ms 3039FPS Total: 6719.59s
5 9 2022 21:23 Start-up Time: 2.306s Avg: 0.304ms 3289FPS Total: 6357.02s
5 9 2022 21:22 Start-up Time: 2.337s Avg: 0.271ms 3690FPS Total: 5534.55s
5 9 2022 21:22 Start-up Time: 2.337s Avg: 0.308ms 3246FPS Total: 5404.74s
5 9 2022 21:22 Start-up Time: 2.282s Avg: 0.3ms 3333FPS Total: 9032.22s
5 9 2022 19:39 Start-up Time: 2.229s Avg: 0.257ms 3891FPS Total: 94791.5s
5 9 2022 19:38 Start-up Time: 2.714s Avg: 0.305ms 3278FPS Total: 6302.63s
5 9 2022 19:34 Start-up Time: 2.499s Avg: 0.306ms 3267FPS Total: 4998.26s
5 9 2022 19:33 Start-up Time: 2.479s Avg: 0.289ms 3460FPS Total: 36856.1s
5 9 2022 19:33 Start-up Time: 2.229s Avg: 0.305ms 3278FPS Total: 5715.67s
5 9 2022 19:32 Start-up Time: 2.432s Avg: 0.3ms 3333FPS Total: 8455.81s
5 9 2022 19:31 Start-up Time: 2.514s Avg: 0.301ms 3322FPS Total: 7550.71s
5 9 2022 19:31 Start-up Time: 2.602s Avg: 0.302ms 3311FPS Total: 7665.38s
5 9 2022 19:30 Start-up Time: 2.414s Avg: 0.304ms 3289FPS Total: 16748.6s
5 9 2022 19:30 Start-up Time: 2.465s Avg: 0.304ms 3289FPS Total: 8522.76s
5 9 2022 19:29 Start-up Time: 2.447s Avg: 0.314ms 3184FPS Total: 13669.3s
5 9 2022 19:29 Start-up Time: 2.45s Avg: 0.298ms 3355FPS Total: 9326.18s
5 9 2022 19:29 Start-up Time: 2.288s Avg: 0.27ms 3703FPS Total: 4662.7s
5 9 2022 19:29 Start-up Time: 2.445s Avg: 0.267ms 3745FPS Total: 5754.01s
5 9 2022 19:28 Start-up Time: 2.453s Avg: 0.234ms 4273FPS Total: 11298s
5 9 2022 19:28 Start-up Time: 2.539s Avg: 0.41ms 2439FPS Total: 3347.43s
5 9 2022 19:28 Start-up Time: 2.501s Avg: 0.289ms 3460FPS Total: 4620.26s
5 9 2022 19:28 Start-up Time: 2.475s Avg: 0.319ms 3134FPS Total: 15522.2s
5 9 2022 19:27 Start-up Time: 2.206s Avg: 0.336ms 2976FPS Total: 13603.5s
5 9 2022 19:27 Start-up Time: 2.247s Avg: 0.343ms 2915FPS Total: 4747.51s
5 9 2022 19:25 Start-up Time: 2.552s Avg: 0.359ms 2785FPS Total: 7901.38s
5 9 2022 19:24 Start-up Time: 2.52s Avg: 0.217ms 4608FPS Total: 8209.43s
5 9 2022 19:24 Start-up Time: 2.454s Avg: 0.244ms 4098FPS Total: 10470.2s
5 9 2022 19:19 Start-up Time: 2.504s Avg: 0.361ms 2770FPS Total: 22952.4s
5 9 2022 19:18 Start-up Time: 2.477s Avg: 0.322ms 3105FPS Total: 12132s
5 9 2022 19:18 Start-up Time: 2.471s Avg: 0.327ms 3058FPS Total: 6866.29s
5 9 2022 16:32 Start-up Time: 2.774s Avg: 0.33ms 3030FPS Total: 89918.3s
5 9 2022 15:46 Start-up Time: 2.475s Avg: 0.269ms 3717FPS Total: 18427.7s
5 9 2022 15:45 Start-up Time: 2.562s Avg: 0.29ms 3448FPS Total: 22095.9s
5 9 2022 15:44 Start-up Time: 2.557s Avg: 0.301ms 3322FPS Total: 9233.86s
5 9 2022 15:36 Start-up Time: 2.46s Avg: 0.284ms 3521FPS Total: 13272.7s
5 9 2022 15:35 Start-up Time: 2.576s Avg: 0.285ms 3508FPS Total: 4657.23s
5 9 2022 15:14 Start-up Time: 2.439s Avg: 0.267ms 3745FPS Total: 11559.4s
5 9 2022 15:13 Start-up Time: 2.497s Avg: 0.313ms 3194FPS Total: 18813.7s
5 9 2022 15:13 Start-up Time: 2.499s Avg: 0.271ms 3690FPS Total: 6512.17s
5 9 2022 15:12 Start-up Time: 2.482s Avg: 0.304ms 3289FPS Total: 9467.68s
5 9 2022 15:12 Start-up Time: 2.459s Avg: 0.279ms 3584FPS Total: 4937.17s
5 9 2022 14:58 Start-up Time: 3.907s Avg: 0.29ms 3448FPS Total: 6653.24s
4 9 2022 22:44 Start-up Time: 2.641s Avg: 0.305ms 3278FPS Total: 11603.3s
4 9 2022 22:44 Start-up Time: 2.669s Avg: 0.278ms 3597FPS Total: 7913.96s
4 9 2022 22:43 Start-up Time: 2.592s Avg: 0.278ms 3597FPS Total: 13389.5s
